2020-06-22 15:04:00 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2020-06-22 15:04:00 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, master, 34649, None)
2020-06-22 15:04:00 INFO  BlockManagerMasterEndpoint:54 - Registering block manager master:34649 with 366.3 MB RAM, BlockManagerId(driver, master, 34649, None)
2020-06-22 15:04:00 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, master, 34649, None)
2020-06-22 15:04:00 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, master, 34649, None)
2020-06-22 15:04:01 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@723ed581{/metrics/json,null,AVAILABLE,@Spark}
2020-06-22 15:04:01 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 326.4 KB, free 366.0 MB)
2020-06-22 15:04:01 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 28.1 KB, free 366.0 MB)
2020-06-22 15:04:01 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on master:34649 (size: 28.1 KB, free: 366.3 MB)
2020-06-22 15:04:01 INFO  SparkContext:54 - Created broadcast 0 from textFile at GraphLoader.scala:73
2020-06-22 15:04:02 INFO  FileInputFormat:247 - Total input paths to process : 1
2020-06-22 15:04:02 INFO  SparkContext:54 - Starting job: count at GraphLoader.scala:94
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Got job 0 (count at GraphLoader.scala:94) with 1 output partitions
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (count at GraphLoader.scala:94)
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Parents of final stage: List()
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Missing parents: List()
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Submitting ResultStage 0 (GraphLoader.edgeListFile - edges (hdfs://namenode:8020/input/wiki-Vote.txt) MapPartitionsRDD[2] at mapPartitionsWithIndex at GraphLoader.scala:75), which has no missing parents
2020-06-22 15:04:02 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 3.4 KB, free 366.0 MB)
2020-06-22 15:04:02 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 2.0 KB, free 365.9 MB)
2020-06-22 15:04:02 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on master:34649 (size: 2.0 KB, free: 366.3 MB)
2020-06-22 15:04:02 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:02 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 0 (GraphLoader.edgeListFile - edges (hdfs://namenode:8020/input/wiki-Vote.txt) MapPartitionsRDD[2] at mapPartitionsWithIndex at GraphLoader.scala:75) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:02 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 1 tasks
2020-06-22 15:04:02 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, ANY, 7887 bytes)
2020-06-22 15:04:02 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
2020-06-22 15:04:02 INFO  Executor:54 - Fetching spark://master:36861/jars/Graphx.jar with timestamp 1592838240839
2020-06-22 15:04:02 INFO  TransportClientFactory:267 - Successfully created connection to master/172.26.0.5:36861 after 35 ms (0 ms spent in bootstraps)
2020-06-22 15:04:02 INFO  Utils:54 - Fetching spark://master:36861/jars/Graphx.jar to /tmp/spark-3cbd16da-e5ab-4a2b-8b72-a371a9247379/userFiles-d2b96456-0f2e-4d94-b45a-e57686ae933d/fetchFileTemp6155765984728991030.tmp
2020-06-22 15:04:03 INFO  Executor:54 - Adding file:/tmp/spark-3cbd16da-e5ab-4a2b-8b72-a371a9247379/userFiles-d2b96456-0f2e-4d94-b45a-e57686ae933d/Graphx.jar to class loader
2020-06-22 15:04:03 INFO  HadoopRDD:54 - Input split: hdfs://namenode:8020/input/wiki-Vote.txt:0+1095061
2020-06-22 15:04:03 INFO  MemoryStore:54 - Block rdd_2_0 stored as values in memory (estimated size 1719.2 KB, free 364.3 MB)
